Date,District,Market,Variety,Min_Price,Max_Price,Modal_Price
18-Mar-25,Shimoga,Sagar,Rashi,51800,55200,53800
15-Mar-25,Davangere,Davangere,Rashi,54000,55200,54600
12-Mar-25,Dakshina Kannada,Puttur,New Variety,26000,45000,30000
10-Mar-25,Shimoga,Shimoga,Rashi,51000,57000,55800
08-Mar-25,Uttara Kannada,Siddapur,Chali,35000,36800,36000
05-Mar-25,Chitradurga,Chitradurga,Api,54800,56200,55500
02-Mar-25,Tumkur,Tumkur,Churu,51200,55800,53500
28-Feb-25,Shimoga,Bhadravathi,New Rashi Idi,48000,54800,52200
25-Feb-25,Uttara Kannada,Kumta,Hosa Chali,41000,43800,42500
22-Feb-25,Davangere,Channagiri,Rashi,52800,56800,55200
20-Feb-25,Chikkamagaluru,Koppa,Gorabalu,27000,30000,28800
18-Feb-25,Shimoga,Shimoga,Bette,54800,65200,62800
15-Feb-25,Dakshina Kannada,Sullya,New Variety,35500,46500,41000
12-Feb-25,Uttara Kannada,Sirsi,Rashi,47500,56200,53500
10-Feb-25,Shimoga,Sagar,Kempugotu,33000,38200,36200
08-Feb-25,Davangere,Honnali,EDI,24500,26800,25800
05-Feb-25,Chitradurga,Holalkere,Rashi,56800,59200,58200
02-Feb-25,Shimoga,Thirthahalli,Rashi Idi,50500,57200,56200
30-Jan-25,Uttara Kannada,Yellapura,Kempugotu,18000,40500,37000
28-Jan-25,Dakshina Kannada,Puttur,Old Variety,48800,53800,51800
25-Jan-25,Shimoga,Shimoga,Saraku,63500,88500,83800
22-Jan-25,Uttara Kannada,Sirsi,Chali,45500,50200,48200
20-Jan-25,Tumkur,Tumkur,Rashi,51200,53000,52400
18-Jan-25,Davangere,Davangere,Rashi,53800,55000,54400
15-Jan-25,Shimoga,Sagar,Chali,42200,44800,43600
12-Jan-25,Chikkamagaluru,Sringeri,Hasa,75000,86500,83500
10-Jan-25,Uttara Kannada,Siddapur,Rashi,43800,46200,45200
08-Jan-25,Chitradurga,Chitradurga,Bette,38500,39800,39200
05-Jan-25,Shimoga,Shimoga,Rashi,51500,57500,56200
02-Jan-25,Dakshina Kannada,Mangaluru,White Areca,33800,36800,35200
30-Dec-24,Uttara Kannada,Sirsi,Bette,29200,37200,34200
28-Dec-24,Shimoga,Bhadravathi,Sippegotu,12000,13200,12800
25-Dec-24,Davangere,Channagiri,Rashi,53000,57000,55600
22-Dec-24,Tumkur,Tumkur,Churu,51800,56200,54500
20-Dec-24,Shimoga,Thirthahalli,Gorabalu,34200,40200,38500
18-Dec-24,Uttara Kannada,Kumta,Hosa Chali,41200,44000,43200
15-Dec-24,Chitradurga,Holalkere,Other,24500,27200,26200
12-Dec-24,Dakshina Kannada,Puttur,New Variety,26800,45800,30800
10-Dec-24,Shimoga,Shimoga,Saraku,64000,89500,85200
08-Dec-24,Uttara Kannada,Yellapura,Api,67000,70500,69200
05-Dec-24,Chikkamagaluru,Koppa,Hasa,65500,88000,80500
02-Dec-24,Davangere,Davangere,Rashi,54000,55200,54600
30-Nov-24,Shimoga,Sagar,Rashi,52200,55500,54000
28-Nov-24,Uttara Kannada,Sirsi,Chali,46000,50200,48500
25-Nov-24,Chitradurga,Chitradurga,Api,55200,56500,55800
22-Nov-24,Shimoga,Shimoga,Bette,55000,65500,63200
20-Nov-24,Dakshina Kannada,Sullya,New Variety,35200,46200,40800
18-Nov-24,Uttara Kannada,Siddapur,Kempugotu,28200,32200,31000
15-Nov-24,Tumkur,Tumkur,Rashi,51200,53000,52200
20-Jan-26,Tumkur,Tumkur,Churu,52000,55700,53800
20-Jan-26,Dakshina Kannada,Sullya,New Variety,37500,48500,43000
19-Jan-26,Uttara Kannada,Sirsi,Bette,28989,36909,32000
19-Jan-26,Uttara Kannada,Kumta,Hosa Chali,42679,44701,43500
19-Jan-26,Shimoga,Soraba,New Rashi Idi,49699,55569,53626
18-Jan-26,Shimoga,Thirthahalli,Rashi Idi,51200,57100,56400
18-Jan-26,Uttara Kannada,Siddapur,Rashi,43500,45800,44700
17-Jan-26,Chitradurga,Holalkere,Rashi,56813,59219,58000
17-Jan-26,Udupi,Kundapura,Hale Chali,51000,54000,52500
16-Jan-26,Shimoga,Sagar,Kempugotu,34000,38500,36500
16-Jan-26,Davangere,Channagiri,Rashi,53100,56800,55200
15-Jan-26,Uttara Kannada,Sirsi,Chali,46500,51000,48800
14-Jan-26,Shimoga,Shimoga,Saraku,62000,90500,84000
13-Jan-26,Chikkamagaluru,Koppa,Gorabalu,27200,30000,29000
12-Jan-26,Dakshina Kannada,Mangaluru,White Areca,33000,36000,34500
10-Jan-26,Shimoga,Bhadravathi,New Rashi Idi,49000,55800,53100
08-Jan-26,Uttara Kannada,Yellapura,Api,65500,69000,67800
05-Jan-26,Davangere,Davangere,Rashi,54800,55900,55300
02-Jan-26,Shimoga,Shimoga,Bette,55000,66000,63500
30-Dec-25,Uttara Kannada,Sirsi,Rashi,47500,56500,53200
28-Dec-25,Chitradurga,Chitradurga,Api,54800,55900,55400
25-Dec-25,Shimoga,Sagar,Chali,42500,44800,43600
22-Dec-25,Davangere,Channagiri,Rashi,52800,56900,55100
20-Dec-25,Tumkur,Tumkur,Rashi,51200,53500,52200
18-Dec-25,Shimoga,Shimoga,Saraku,65000,92000,88000
15-Dec-25,Uttara Kannada,Siddapur,Chali,35500,37200,36500
12-Dec-25,Dakshina Kannada,Puttur,Old Variety,48500,53000,51200
10-Dec-25,Shimoga,Thirthahalli,Hasa,70000,91500,82000
08-Dec-25,Chikkamagaluru,Sringeri,Bette,61500,66000,64200
05-Dec-25,Uttara Kannada,Yellapura,Kempugotu,19000,41500,38000
02-Dec-25,Shimoga,Shimoga,Rashi,51000,57200,56100
28-Nov-25,Davangere,Honnali,EDI,25500,27800,26800
25-Nov-25,Uttara Kannada,Sirsi,Chali,48000,52500,50500
22-Nov-25,Shimoga,Bhadravathi,Sippegotu,12500,13500,13000
20-Nov-25,Chitradurga,Holalkere,Other,25000,28000,26800
18-Nov-25,Dakshina Kannada,Sulya,New Variety,36500,47500,42000
15-Nov-25,Shimoga,Shimoga,Gorabalu,32000,42500,40100
12-Nov-25,Tumkur,Tumkur,Churu,51500,56000,54200
10-Nov-25,Uttara Kannada,Kumta,Factory,9500,25500,22300
08-Nov-25,Shimoga,Sagar,Rashi,53500,56200,54800
05-Nov-25,Chikkamagaluru,Koppa,Hasa,65000,90000,83500
01-Nov-25,Uttara Kannada,Sirsi,Bette,29500,37500,33000
28-Oct-25,Davangere,Davangere,Rashi,55200,56000,55600
25-Oct-25,Shimoga,Shimoga,Saraku,68000,94000,89500
22-Oct-25,Dakshina Kannada,Puttur,New Variety,27000,46500,31000
20-Oct-25,Uttara Kannada,Siddapur,Kempugotu,29000,33500,32800
18-Oct-25,Shimoga,Thirthahalli,Rashi Idi,50800,57500,56500
15-Oct-25,Chitradurga,Chitradurga,Bette,39000,40500,39800
12-Oct-25,Tumkur,Tumkur,Rashi,51000,53800,52500
10-Oct-25,Shimoga,Shimoga,Rashi,52000,58000,57200
08-Oct-25,Uttara Kannada,Yellapura,Api,67000,69500,68500
05-Oct-25,Dakshina Kannada,Mangaluru,White Areca,34000,37500,35800
02-Oct-25,Shimoga,Sagar,Chali,43500,45500,44200
30-Sep-25,Davangere,Channagiri,Rashi,53500,57500,56000
28-Sep-25,Chikkamagaluru,Sringeri,Hasa,76000,87500,84500
25-Sep-25,Uttara Kannada,Sirsi,Rashi,48000,57500,54500
22-Sep-25,Shimoga,Shimoga,Bette,56000,67500,64800
20-Sep-25,Chitradurga,Holalkere,Rashi,57200,59800,58500
18-Sep-25,Dakshina Kannada,Puttur,Old Variety,49000,54500,52000
